toptxt_value,link,link/_text,link/_title,image_1,image_1/_alt,bottxt_link,bottxt_link/_text,bottxt_link/_title,highslide_value,highslide_link,highslide_link/_text,highslide_link/_title,highslide_flag,image_2,image_2/_alt
"British Virgin Islands","http://www.missuniverse.com/members/profile/662876/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_11_0_1449785526_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_11_0_1449785526_2015.jpg","Adorya Baly","","Adorya Baly","http://www.missuniverse.com/members/profile/662876/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Bulgaria","http://www.missuniverse.com/members/profile/662804/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_12_0_1449785607_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_12_0_1449785607_2015.jpg","Radostina Todorova","","Radostina Todorova","http://www.missuniverse.com/members/profile/662804/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Canada","http://www.missuniverse.com/members/profile/662805/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_13_0_1449785595_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_13_0_1449785595_2015.jpg","Paola Nunez","","Paola Nunez","http://www.missuniverse.com/members/profile/662805/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Cayman Islands","http://www.missuniverse.com/members/profile/662806/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_14_0_1449785605_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_14_0_1449785605_2015.jpg","Tonie Chisholm","","Tonie Chisholm","http://www.missuniverse.com/members/profile/662806/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Chile","http://www.missuniverse.com/members/profile/662807/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_200_0_1449785531_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_200_0_1449785531_2015.jpg","Maria Belen Jerez","","Maria Belen Jerez","http://www.missuniverse.com/members/profile/662807/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"China","http://www.missuniverse.com/members/profile/662808/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_15_0_1449785535_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_15_0_1449785535_2015.jpg","Yun Fang Xue","","Yun Fang Xue","http://www.missuniverse.com/members/profile/662808/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Colombia","http://www.missuniverse.com/members/profile/662809/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_16_0_1449785540_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_16_0_1449785540_2015.jpg","Ariadna Gutierrez-Arévalo","","Ariadna Gutierrez-Arévalo","http://www.missuniverse.com/members/profile/662809/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Costa Rica","http://www.missuniverse.com/members/profile/662810/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_17_0_1449785550_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_17_0_1449785550_2015.jpg","Brenda Castro","","Brenda Castro","http://www.missuniverse.com/members/profile/662810/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Croatia","http://www.missuniverse.com/members/profile/662811/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_18_0_1449785519_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_18_0_1449785519_2015.jpg","Mirta Kuštan","","Mirta Kuštan","http://www.missuniverse.com/members/profile/662811/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Curaçao","http://www.missuniverse.com/members/profile/662812/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_0_0_1449785516_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_0_0_1449785516_2015.jpg","Kanisha Sluis","","Kanisha Sluis","http://www.missuniverse.com/members/profile/662812/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Czech Republic","http://www.missuniverse.com/members/profile/662813/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_21_0_1449785556_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_21_0_1449785556_2015.jpg","Nikol Švantnerová","","Nikol Švantnerová","http://www.missuniverse.com/members/profile/662813/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Denmark","http://www.missuniverse.com/members/profile/662814/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_22_0_1449785555_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_22_0_1449785555_2015.jpg","Cecilie Wellemberg","","Cecilie Wellemberg","http://www.missuniverse.com/members/profile/662814/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Dominican Republic","http://www.missuniverse.com/members/profile/662815/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_23_0_1449785530_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_23_0_1449785530_2015.jpg","Clarissa Molina","","Clarissa Molina","http://www.missuniverse.com/members/profile/662815/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Ecuador","http://www.missuniverse.com/members/profile/662816/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_24_0_1449785520_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_24_0_1449785520_2015.jpg","Francesca Cipriani","","Francesca Cipriani","http://www.missuniverse.com/members/profile/662816/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"El Salvador","http://www.missuniverse.com/members/profile/662818/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_26_0_1449785578_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_26_0_1449785578_2015.jpg","Fatima Rivas","","Fatima Rivas","http://www.missuniverse.com/members/profile/662818/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Finland","http://www.missuniverse.com/members/profile/662819/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_29_0_1449785567_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_29_0_1449785567_2015.jpg","Rosa-Maria Ryyti","","Rosa-Maria Ryyti","http://www.missuniverse.com/members/profile/662819/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"France","http://www.missuniverse.com/members/profile/662820/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_30_0_1449785553_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_30_0_1449785553_2015.jpg","Flora Coquerel","","Flora Coquerel","http://www.missuniverse.com/members/profile/662820/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Gabon","http://www.missuniverse.com/members/profile/662821/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_202_0_1449785536_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_202_0_1449785536_2015.jpg","Ornella Obone","","Ornella Obone","http://www.missuniverse.com/members/profile/662821/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Georgia","http://www.missuniverse.com/members/profile/662822/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_31_0_1449785582_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_31_0_1449785582_2015.jpg","Janet Kerdikoshvili","","Janet Kerdikoshvili","http://www.missuniverse.com/members/profile/662822/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Germany","http://www.missuniverse.com/members/profile/662823/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_193_0_1449785613_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_193_0_1449785613_2015.jpg","Sarah-Lorraine Riek","","Sarah-Lorraine Riek","http://www.missuniverse.com/members/profile/662823/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Ghana","http://www.missuniverse.com/members/profile/662824/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_32_0_1449785551_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_32_0_1449785551_2015.jpg","Hilda Frimpong","","Hilda Frimpong","http://www.missuniverse.com/members/profile/662824/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Great Britain","http://www.missuniverse.com/members/profile/662825/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_33_0_1449785603_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_33_0_1449785603_2015.jpg","Nena France","","Nena France","http://www.missuniverse.com/members/profile/662825/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Greece","http://www.missuniverse.com/members/profile/662826/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_34_0_1449785575_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_34_0_1449785575_2015.jpg","Mikaela-Eleni Fotiadi","","Mikaela-Eleni Fotiadi","http://www.missuniverse.com/members/profile/662826/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Guatemala","http://www.missuniverse.com/members/profile/662827/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_36_0_1449785529_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_36_0_1449785529_2015.jpg","Fabiola Jeimmy Aburto","","Fabiola Jeimmy Aburto","http://www.missuniverse.com/members/profile/662827/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Guyana","http://www.missuniverse.com/members/profile/662828/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_37_0_1449785523_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_37_0_1449785523_2015.jpg","Shauna Ramdyhan","","Shauna Ramdyhan","http://www.missuniverse.com/members/profile/662828/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Haiti","http://www.missuniverse.com/members/profile/662829/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_196_0_1449785617_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_196_0_1449785617_2015.jpg","Lisa Drouillard","","Lisa Drouillard","http://www.missuniverse.com/members/profile/662829/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Honduras","http://www.missuniverse.com/members/profile/662830/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_38_0_1449785576_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_38_0_1449785576_2015.jpg","Iroshka Elvir","","Iroshka Elvir","http://www.missuniverse.com/members/profile/662830/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Hungary","http://www.missuniverse.com/members/profile/662831/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_39_0_1449785593_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_39_0_1449785593_2015.jpg","Nikoletta Nagy","","Nikoletta Nagy","http://www.missuniverse.com/members/profile/662831/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"India","http://www.missuniverse.com/members/profile/662832/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_41_0_1449785584_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_41_0_1449785584_2015.jpg","Urvashi Rautela","","Urvashi Rautela","http://www.missuniverse.com/members/profile/662832/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Indonesia","http://www.missuniverse.com/members/profile/662833/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_42_0_1449785522_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_42_0_1449785522_2015.jpg","Anindya Putri","","Anindya Putri","http://www.missuniverse.com/members/profile/662833/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Ireland","http://www.missuniverse.com/members/profile/662834/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_43_0_1449785533_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_43_0_1449785533_2015.jpg","Joanna Cooper","","Joanna Cooper","http://www.missuniverse.com/members/profile/662834/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Israel","http://www.missuniverse.com/members/profile/662835/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_44_0_1449785566_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_44_0_1449785566_2015.jpg","Avigail Alfatov","","Avigail Alfatov","http://www.missuniverse.com/members/profile/662835/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Italy","http://www.missuniverse.com/members/profile/662836/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_45_0_1449785524_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_45_0_1449785524_2015.jpg","Giada Pezzaioli","","Giada Pezzaioli","http://www.missuniverse.com/members/profile/662836/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Jamaica","http://www.missuniverse.com/members/profile/662837/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_46_0_1449785591_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_46_0_1449785591_2015.jpg","Sharlene Radlein","","Sharlene Radlein","http://www.missuniverse.com/members/profile/662837/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Japan","http://www.missuniverse.com/members/profile/662838/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_47_0_1449785560_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_47_0_1449785560_2015.jpg","Ariana Miyamoto","","Ariana Miyamoto","http://www.missuniverse.com/members/profile/662838/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Korea","http://www.missuniverse.com/members/profile/662840/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_49_0_1449785608_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_49_0_1449785608_2015.jpg","Seoyeon Kim","","Seoyeon Kim","http://www.missuniverse.com/members/profile/662840/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Kosovo","http://www.missuniverse.com/members/profile/662841/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_50_0_1449785588_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_50_0_1449785588_2015.jpg","Mirjeta Shala","","Mirjeta Shala","http://www.missuniverse.com/members/profile/662841/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Lebanon","http://www.missuniverse.com/members/profile/662883/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_51_0_1449785597_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_51_0_1449785597_2015.jpg","Cynthia Roger Samuel","","Cynthia Roger Samuel","http://www.missuniverse.com/members/profile/662883/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Malaysia","http://www.missuniverse.com/members/profile/662842/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_52_0_1449785547_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_52_0_1449785547_2015.jpg","Vanessa Kumares","","Vanessa Kumares","http://www.missuniverse.com/members/profile/662842/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Mauritius","http://www.missuniverse.com/members/profile/662843/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_53_0_1449785573_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_53_0_1449785573_2015.jpg","Sheetal Khadun","","Sheetal Khadun","http://www.missuniverse.com/members/profile/662843/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Mexico","http://www.missuniverse.com/members/profile/662844/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_54_0_1449785542_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_54_0_1449785542_2015.jpg","Wendy Esparza","","Wendy Esparza","http://www.missuniverse.com/members/profile/662844/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Montenegro","http://www.missuniverse.com/members/profile/662845/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_55_0_1449785563_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_55_0_1449785563_2015.jpg","Maja Čukić","","Maja Čukić","http://www.missuniverse.com/members/profile/662845/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Myanmar","http://www.missuniverse.com/members/profile/662846/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_290_0_1449785517_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_290_0_1449785517_2015.jpg","May Thaw","","May Thaw","http://www.missuniverse.com/members/profile/662846/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Netherlands","http://www.missuniverse.com/members/profile/662847/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_57_0_1449785541_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_57_0_1449785541_2015.jpg","Jessie Jazz Vuijk","","Jessie Jazz Vuijk","http://www.missuniverse.com/members/profile/662847/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"New Zealand","http://www.missuniverse.com/members/profile/662848/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_58_0_1449785562_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_58_0_1449785562_2015.jpg","Samantha McClung","","Samantha McClung","http://www.missuniverse.com/members/profile/662848/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Nicaragua","http://www.missuniverse.com/members/profile/662849/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_59_0_1449785565_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_59_0_1449785565_2015.jpg","Daniela Torres","","Daniela Torres","http://www.missuniverse.com/members/profile/662849/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Nigeria","http://www.missuniverse.com/members/profile/662850/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_60_0_1449785570_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_60_0_1449785570_2015.jpg","Debbie Collins","","Debbie Collins","http://www.missuniverse.com/members/profile/662850/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Norway","http://www.missuniverse.com/members/profile/662851/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_61_0_1449785623_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_61_0_1449785623_2015.jpg","Martine Rødseth","","Martine Rødseth","http://www.missuniverse.com/members/profile/662851/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Panama","http://www.missuniverse.com/members/profile/662852/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_62_0_1449785572_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_62_0_1449785572_2015.jpg","Gladys Brandao Amaya","","Gladys Brandao Amaya","http://www.missuniverse.com/members/profile/662852/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Paraguay","http://www.missuniverse.com/members/profile/662853/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_63_0_1449785537_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_63_0_1449785537_2015.jpg","Myriam Arevalos","","Myriam Arevalos","http://www.missuniverse.com/members/profile/662853/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Peru","http://www.missuniverse.com/members/profile/662854/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_64_0_1449785528_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_64_0_1449785528_2015.jpg","Laura Spoya","","Laura Spoya","http://www.missuniverse.com/members/profile/662854/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
"Philippines","http://www.missuniverse.com/members/profile/662855/year:2015","","","http://content.missuniverse.com/media/photos/galleries/sbs.photographer_uploaded_1_65_0_1449785618_2015.jpg","","http://content.missuniverse.com/media/photos/galleries/photographer_uploaded_1_65_0_1449785618_2015.jpg","Pia Alonzo Wurtzbach","","Pia Alonzo Wurtzbach","http://www.missuniverse.com/members/profile/662855/year:2015","Click to View Profile","","Click to View Profile","http://www.missuniverse.com/img/rightArrow.png",""
